,topic_id,query,result,persona
0,310,"I want you to formulate queries about a specific topic. When writing the queries write them in the style of Karen who wants to identify relevant document for the specific topic, to fulfill their goal of write a short article for the church magazine. 
When creating the queries think of what Karen is interested. What information does Karen need to fulfill their goal of write a short article for the church magazine?. 
Make sure the queries are as realistic as possible. That means that when writing the queries use words that are realistic given that Karen is 45 years old. 
Also add here roughly to the length of 4 words, as it would be unrealistic for Karen to write different length queries. 
Consider that Karen is from texas if the topic can have a relation to texas. Formulate your words as a non academical english native. When writing the Queries also remember that Karen is female. 
Format the queries as one python dictionary, where the keys are `keywords`, `questions` and `queries`. Write them with the following steps:

1. (keywords): Identify important keywords that fit to what Karen needs to know to reach their goal of write a short article for the church magazine about the topic. Remember that the topic itself is not a keyword but has to appear in all queries and do not find more than 3 keywords!!
2. (Questions):  Try to formulate questions that are as realistic as possible given the description of Karen and the topic. Use the keywords to formulate the questions. Remember that the topic itself is not a keyword but has to appear in all queries!!
3. (Queries): Rewrite the questions and consider that they have to fit roughly into 4 words and that they’re not formulated as a question and without a question mark. Remeber that each query has to speak for itself. 

Use the following framework for the dictionary: 

{
""keywords"": [""keyword 1"", ""keyword 2"", ""keyword 3""],
""questions"" : {
1 : ""question 1"", 
2: ""question 2"", 
3: ""question 3"",
... ; ..., 
n : ""question n""
},
""queries"" : {
1 : ""querie 1"", 
2 : ""querie 2"", 
3 : ""querie 3"",
... : ...,
n :  ""querie n""
}
}

Please generate 10 search queries that could have been written by Karen to do research on the following.
Topic: Radio Waves and Brain Cance.
Description: Evidence that radio waves from radio towers or car (mobile) phones affect brain cancer occurrence.","{'keywords': ['radio waves', 'brain cancer', 'mobile phones'], 'questions': {'1': 'How do radio waves', '2': 'What is brain cancer', '3': 'Do mobile phones cause', '4': 'What is the evidence', '5': 'How can we prevent', '6': 'What are the symptoms', '7': 'What are the risks', '8': 'What is the link', '9': 'What are the studies', '10': 'What are the dangers'}, 'queries': {'1': 'Radio waves and cancer', '2': 'Brain cancer symptoms', '3': 'Mobile phones and cancer', '4': 'Evidence of radio waves', '5': 'Preventing brain cancer', '6': 'Brain cancer warning signs', '7': 'Risks of radio waves', '8': 'Link between radio waves', '9': 'Studies on brain cancer', '10': 'Dangers of mobile phones'}}",Karen
1,347,"I want you to formulate queries about a specific topic. When writing the queries write them in the style of Karen who wants to identify relevant document for the specific topic, to fulfill their goal of write a short article for the church magazine. 
When creating the queries think of what Karen is interested. What information does Karen need to fulfill their goal of write a short article for the church magazine?. 
Make sure the queries are as realistic as possible. That means that when writing the queries use words that are realistic given that Karen is 45 years old. 
Also add here roughly to the length of 4 words, as it would be unrealistic for Karen to write different length queries. 
Consider that Karen is from texas if the topic can have a relation to texas. Formulate your words as a non academical english native. When writing the Queries also remember that Karen is female. 
Format the queries as one python dictionary, where the keys are `keywords`, `questions` and `queries`. Write them with the following steps:

1. (keywords): Identify important keywords that fit to what Karen needs to know to reach their goal of write a short article for the church magazine about the topic. Remember that the topic itself is not a keyword but has to appear in all queries and do not find more than 3 keywords!!
2. (Questions):  Try to formulate questions that are as realistic as possible given the description of Karen and the topic. Use the keywords to formulate the questions. Remember that the topic itself is not a keyword but has to appear in all queries!!
3. (Queries): Rewrite the questions and consider that they have to fit roughly into 4 words and that they’re not formulated as a question and without a question mark. Remeber that each query has to speak for itself. 

Use the following framework for the dictionary: 

{
""keywords"": [""keyword 1"", ""keyword 2"", ""keyword 3""],
""questions"" : {
1 : ""question 1"", 
2: ""question 2"", 
3: ""question 3"",
... ; ..., 
n : ""question n""
},
""queries"" : {
1 : ""querie 1"", 
2 : ""querie 2"", 
3 : ""querie 3"",
... : ...,
n :  ""querie n""
}
}

Please generate 10 search queries that could have been written by Karen to do research on the following.
Topic: Wildlife Extinction.
Description: The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines?","{'keywords': ['wildlife extinction', 'efforts', 'other countries'], 'questions': {'1': 'What countries protect wildlife?', '2': 'What are global efforts?', '3': 'What is wildlife conservation?', '4': 'What is the IUCN?', '5': 'What is CITES?', '6': 'What is WWF?', '7': 'What is TRAFFIC?', '8': 'What is the CBD?', '9': 'What is the Red List?', '10': 'What is the ESA?'}, 'queries': {'1': 'Countries protecting wildlife', '2': 'Global wildlife conservation efforts', '3': 'Wildlife conservation definition', '4': 'IUCN meaning and purpose', '5': 'CITES meaning and purpose', '6': 'WWF meaning and purpose', '7': 'TRAFFIC meaning and purpose', '8': 'CBD meaning and purpose', '9': 'Red List meaning and purpose', '10': 'ESA meaning and purpose'}}",Karen
2,325,"I want you to formulate queries about a specific topic. When writing the queries write them in the style of Karen who wants to identify relevant document for the specific topic, to fulfill their goal of write a short article for the church magazine. 
When creating the queries think of what Karen is interested. What information does Karen need to fulfill their goal of write a short article for the church magazine?. 
Make sure the queries are as realistic as possible. That means that when writing the queries use words that are realistic given that Karen is 45 years old. 
Also add here roughly to the length of 4 words, as it would be unrealistic for Karen to write different length queries. 
Consider that Karen is from texas if the topic can have a relation to texas. Formulate your words as a non academical english native. When writing the Queries also remember that Karen is female. 
Format the queries as one python dictionary, where the keys are `keywords`, `questions` and `queries`. Write them with the following steps:

1. (keywords): Identify important keywords that fit to what Karen needs to know to reach their goal of write a short article for the church magazine about the topic. Remember that the topic itself is not a keyword but has to appear in all queries and do not find more than 3 keywords!!
2. (Questions):  Try to formulate questions that are as realistic as possible given the description of Karen and the topic. Use the keywords to formulate the questions. Remember that the topic itself is not a keyword but has to appear in all queries!!
3. (Queries): Rewrite the questions and consider that they have to fit roughly into 4 words and that they’re not formulated as a question and without a question mark. Remeber that each query has to speak for itself. 

Use the following framework for the dictionary: 

{
""keywords"": [""keyword 1"", ""keyword 2"", ""keyword 3""],
""questions"" : {
1 : ""question 1"", 
2: ""question 2"", 
3: ""question 3"",
... ; ..., 
n : ""question n""
},
""queries"" : {
1 : ""querie 1"", 
2 : ""querie 2"", 
3 : ""querie 3"",
... : ...,
n :  ""querie n""
}
}

Please generate 10 search queries that could have been written by Karen to do research on the following.
Topic: Cult Lifestyles.
Description: Describe a cult by name and identify the cult members' activities in their everyday life.","{'keywords': ['cult', 'lifestyle', 'members'], 'questions': {'1': 'What is a cult?', '2': 'What are cult lifestyles?', '3': 'Who are cult members?', '4': 'What do cult members do?', '5': 'What is a specific cult?', '6': 'What are the activities of cult members?', '7': 'How do cult members live?', '8': 'What is the daily life of cult members?', '9': 'What is the name of a cult?', '10': 'What are the beliefs of cult members?'}, 'queries': {'1': 'Define cult lifestyle', '2': 'Cult members activities', '3': 'Who are cult members?', '4': 'Cult members daily life', '5': 'Specific cult name', '6': 'Cult members activities', '7': 'Cult members way of living', '8': 'Daily life of cult members', '9': 'Name of a cult', '10': 'Cult members beliefs'}}",Karen
3,344,"I want you to formulate queries about a specific topic. When writing the queries write them in the style of Karen who wants to identify relevant document for the specific topic, to fulfill their goal of write a short article for the church magazine. 
When creating the queries think of what Karen is interested. What information does Karen need to fulfill their goal of write a short article for the church magazine?. 
Make sure the queries are as realistic as possible. That means that when writing the queries use words that are realistic given that Karen is 45 years old. 
Also add here roughly to the length of 4 words, as it would be unrealistic for Karen to write different length queries. 
Consider that Karen is from texas if the topic can have a relation to texas. Formulate your words as a non academical english native. When writing the Queries also remember that Karen is female. 
Format the queries as one python dictionary, where the keys are `keywords`, `questions` and `queries`. Write them with the following steps:

1. (keywords): Identify important keywords that fit to what Karen needs to know to reach their goal of write a short article for the church magazine about the topic. Remember that the topic itself is not a keyword but has to appear in all queries and do not find more than 3 keywords!!
2. (Questions):  Try to formulate questions that are as realistic as possible given the description of Karen and the topic. Use the keywords to formulate the questions. Remember that the topic itself is not a keyword but has to appear in all queries!!
3. (Queries): Rewrite the questions and consider that they have to fit roughly into 4 words and that they’re not formulated as a question and without a question mark. Remeber that each query has to speak for itself. 

Use the following framework for the dictionary: 

{
""keywords"": [""keyword 1"", ""keyword 2"", ""keyword 3""],
""questions"" : {
1 : ""question 1"", 
2: ""question 2"", 
3: ""question 3"",
... ; ..., 
n : ""question n""
},
""queries"" : {
1 : ""querie 1"", 
2 : ""querie 2"", 
3 : ""querie 3"",
... : ...,
n :  ""querie n""
}
}

Please generate 10 search queries that could have been written by Karen to do research on the following.
Topic: Abuses of E-Mail.
Description: The availability of E-mail to many people through their job or school affiliation has allowed for many efficiencies in communications but also has provided the opportunity for abuses. What steps have been taken world-wide by those bearing the cost of E-mail to prevent excesses?","{'keywords': ['E-mail', 'abuses', 'prevention'], 'questions': {'1': 'What are E-mail abuses?', '2': 'Who bears the cost?', '3': 'What prevention steps taken?', '4': 'Are there world-wide efforts?', '5': 'What are the consequences?', '6': 'How to report abuses?', '7': 'What are the legal implications?', '8': 'What are the ethical concerns?', '9': 'What are the common abuses?', '10': 'What are the best practices?'}, 'queries': {'1': 'Define E-mail abuses', '2': 'Who pays for E-mail?', '3': 'Prevent E-mail excesses', '4': 'Global prevention efforts', '5': 'E-mail abuse consequences', '6': 'Reporting E-mail abuses', '7': 'Legal E-mail implications', '8': 'Ethical E-mail concerns', '9': 'Common E-mail abuses', '10': 'Best E-mail practices'}}",Karen
4,321,"I want you to formulate queries about a specific topic. When writing the queries write them in the style of Karen who wants to identify relevant document for the specific topic, to fulfill their goal of write a short article for the church magazine. 
When creating the queries think of what Karen is interested. What information does Karen need to fulfill their goal of write a short article for the church magazine?. 
Make sure the queries are as realistic as possible. That means that when writing the queries use words that are realistic given that Karen is 45 years old. 
Also add here roughly to the length of 4 words, as it would be unrealistic for Karen to write different length queries. 
Consider that Karen is from texas if the topic can have a relation to texas. Formulate your words as a non academical english native. When writing the Queries also remember that Karen is female. 
Format the queries as one python dictionary, where the keys are `keywords`, `questions` and `queries`. Write them with the following steps:

1. (keywords): Identify important keywords that fit to what Karen needs to know to reach their goal of write a short article for the church magazine about the topic. Remember that the topic itself is not a keyword but has to appear in all queries and do not find more than 3 keywords!!
2. (Questions):  Try to formulate questions that are as realistic as possible given the description of Karen and the topic. Use the keywords to formulate the questions. Remember that the topic itself is not a keyword but has to appear in all queries!!
3. (Queries): Rewrite the questions and consider that they have to fit roughly into 4 words and that they’re not formulated as a question and without a question mark. Remeber that each query has to speak for itself. 

Use the following framework for the dictionary: 

{
""keywords"": [""keyword 1"", ""keyword 2"", ""keyword 3""],
""questions"" : {
1 : ""question 1"", 
2: ""question 2"", 
3: ""question 3"",
... ; ..., 
n : ""question n""
},
""queries"" : {
1 : ""querie 1"", 
2 : ""querie 2"", 
3 : ""querie 3"",
... : ...,
n :  ""querie n""
}
}

Please generate 10 search queries that could have been written by Karen to do research on the following.
Topic: Women in Parliaments.
Description: Pertinent documents will reflect the fact that women continue to be poorly represented in parliaments across the world, and the gap in political power between the sexes is very wide, particularly in the Third World.","{'keywords': ['women', 'parliaments', 'representation'], 'questions': {'1': 'What is women representation?', '2': 'How many women in parliaments?', '3': 'Why women poorly represented?', '4': 'What is the gender gap?', '5': 'What is Third World?', '6': 'How to improve representation?', '7': 'What are the challenges?', '8': 'What is the history?', '9': 'What is the impact?', '10': 'What are the solutions?'}, 'queries': {'1': 'Women representation definition', '2': 'Women in parliaments statistics', '3': 'Reasons for poor representation', '4': 'Gender gap in politics', '5': 'Third World definition', '6': 'Improving women representation', '7': 'Challenges for women in politics', '8': 'History of women in parliaments', '9': 'Impact of women representation', '10': 'Solutions for women representation'}}",Karen
5,307,"I want you to formulate queries about a specific topic. When writing the queries write them in the style of Karen who wants to identify relevant document for the specific topic, to fulfill their goal of write a short article for the church magazine. 
When creating the queries think of what Karen is interested. What information does Karen need to fulfill their goal of write a short article for the church magazine?. 
Make sure the queries are as realistic as possible. That means that when writing the queries use words that are realistic given that Karen is 45 years old. 
Also add here roughly to the length of 4 words, as it would be unrealistic for Karen to write different length queries. 
Consider that Karen is from texas if the topic can have a relation to texas. Formulate your words as a non academical english native. When writing the Queries also remember that Karen is female. 
Format the queries as one python dictionary, where the keys are `keywords`, `questions` and `queries`. Write them with the following steps:

1. (keywords): Identify important keywords that fit to what Karen needs to know to reach their goal of write a short article for the church magazine about the topic. Remember that the topic itself is not a keyword but has to appear in all queries and do not find more than 3 keywords!!
2. (Questions):  Try to formulate questions that are as realistic as possible given the description of Karen and the topic. Use the keywords to formulate the questions. Remember that the topic itself is not a keyword but has to appear in all queries!!
3. (Queries): Rewrite the questions and consider that they have to fit roughly into 4 words and that they’re not formulated as a question and without a question mark. Remeber that each query has to speak for itself. 

Use the following framework for the dictionary: 

{
""keywords"": [""keyword 1"", ""keyword 2"", ""keyword 3""],
""questions"" : {
1 : ""question 1"", 
2: ""question 2"", 
3: ""question 3"",
... ; ..., 
n : ""question n""
},
""queries"" : {
1 : ""querie 1"", 
2 : ""querie 2"", 
3 : ""querie 3"",
... : ...,
n :  ""querie n""
}
}

Please generate 10 search queries that could have been written by Karen to do research on the following.
Topic: New Hydroelectric Project.
Description: Identify hydroelectric projects proposed or under construction by country and location. Detailed description of nature, extent, purpose, problems, and consequences is desirable.","{'keywords': ['Hydroelectric', 'Project', 'Country'], 'questions': {'1': 'What is hydroelectric power?', '2': 'What are the benefits of hydroelectric power?', '3': 'What countries have hydroelectric projects?', '4': 'What are the problems with hydroelectric projects?', '5': 'What are the consequences of hydroelectric projects?', '6': 'What is the nature of hydroelectric projects?', '7': 'What is the extent of hydroelectric projects?', '8': 'What is the purpose of hydroelectric projects?', '9': 'What hydroelectric projects are under construction?', '10': 'What hydroelectric projects are proposed?'}, 'queries': {'1': 'Define hydroelectric power', '2': 'List benefits of hydroelectric', '3': 'Countries with hydroelectric projects', '4': 'Problems with hydroelectric projects', '5': 'Consequences of hydroelectric projects', '6': 'Describe nature of hydroelectric', '7': 'Extent of hydroelectric projects', '8': 'Purpose of hydroelectric projects', '9': 'Hydroelectric projects under construction', '10': 'Proposed hydroelectric projects'}}",Karen
6,330,"I want you to formulate queries about a specific topic. When writing the queries write them in the style of Karen who wants to identify relevant document for the specific topic, to fulfill their goal of write a short article for the church magazine. 
When creating the queries think of what Karen is interested. What information does Karen need to fulfill their goal of write a short article for the church magazine?. 
Make sure the queries are as realistic as possible. That means that when writing the queries use words that are realistic given that Karen is 45 years old. 
Also add here roughly to the length of 4 words, as it would be unrealistic for Karen to write different length queries. 
Consider that Karen is from texas if the topic can have a relation to texas. Formulate your words as a non academical english native. When writing the Queries also remember that Karen is female. 
Format the queries as one python dictionary, where the keys are `keywords`, `questions` and `queries`. Write them with the following steps:

1. (keywords): Identify important keywords that fit to what Karen needs to know to reach their goal of write a short article for the church magazine about the topic. Remember that the topic itself is not a keyword but has to appear in all queries and do not find more than 3 keywords!!
2. (Questions):  Try to formulate questions that are as realistic as possible given the description of Karen and the topic. Use the keywords to formulate the questions. Remember that the topic itself is not a keyword but has to appear in all queries!!
3. (Queries): Rewrite the questions and consider that they have to fit roughly into 4 words and that they’re not formulated as a question and without a question mark. Remeber that each query has to speak for itself. 

Use the following framework for the dictionary: 

{
""keywords"": [""keyword 1"", ""keyword 2"", ""keyword 3""],
""questions"" : {
1 : ""question 1"", 
2: ""question 2"", 
3: ""question 3"",
... ; ..., 
n : ""question n""
},
""queries"" : {
1 : ""querie 1"", 
2 : ""querie 2"", 
3 : ""querie 3"",
... : ...,
n :  ""querie n""
}
}

Please generate 10 search queries that could have been written by Karen to do research on the following.
Topic: Iran-Iraq Cooperation.
Description: This query is looking for examples of cooperation or friendly ties between Iran and Iraq, or ways in which the two countries could be considered allies.","{'keywords': ['Iran', 'Iraq', 'cooperation'], 'questions': {'1': 'What is Iran-Iraq cooperation?', '2': 'How do Iran and Iraq cooperate?', '3': 'What are the friendly ties between Iran and Iraq?', '4': 'How are Iran and Iraq allies?', '5': 'What is the history of Iran-Iraq cooperation?', '6': 'What are the benefits of Iran-Iraq cooperation?', '7': 'What are the challenges of Iran-Iraq cooperation?', '8': 'What are the current projects of Iran-Iraq cooperation?', '9': 'What are the future plans for Iran-Iraq cooperation?', '10': 'What is the impact of Iran-Iraq cooperation?'}, 'queries': {'1': 'Iran-Iraq cooperation examples', '2': 'Iran-Iraq friendly ties', '3': 'Iran-Iraq allies', '4': 'Iran-Iraq cooperation history', '5': 'Iran-Iraq cooperation benefits', '6': 'Iran-Iraq cooperation challenges', '7': 'Iran-Iraq current projects', '8': 'Iran-Iraq future plans', '9': 'Iran-Iraq cooperation impact'}}",Karen
7,341,"I want you to formulate queries about a specific topic. When writing the queries write them in the style of Karen who wants to identify relevant document for the specific topic, to fulfill their goal of write a short article for the church magazine. 
When creating the queries think of what Karen is interested. What information does Karen need to fulfill their goal of write a short article for the church magazine?. 
Make sure the queries are as realistic as possible. That means that when writing the queries use words that are realistic given that Karen is 45 years old. 
Also add here roughly to the length of 4 words, as it would be unrealistic for Karen to write different length queries. 
Consider that Karen is from texas if the topic can have a relation to texas. Formulate your words as a non academical english native. When writing the Queries also remember that Karen is female. 
Format the queries as one python dictionary, where the keys are `keywords`, `questions` and `queries`. Write them with the following steps:

1. (keywords): Identify important keywords that fit to what Karen needs to know to reach their goal of write a short article for the church magazine about the topic. Remember that the topic itself is not a keyword but has to appear in all queries and do not find more than 3 keywords!!
2. (Questions):  Try to formulate questions that are as realistic as possible given the description of Karen and the topic. Use the keywords to formulate the questions. Remember that the topic itself is not a keyword but has to appear in all queries!!
3. (Queries): Rewrite the questions and consider that they have to fit roughly into 4 words and that they’re not formulated as a question and without a question mark. Remeber that each query has to speak for itself. 

Use the following framework for the dictionary: 

{
""keywords"": [""keyword 1"", ""keyword 2"", ""keyword 3""],
""questions"" : {
1 : ""question 1"", 
2: ""question 2"", 
3: ""question 3"",
... ; ..., 
n : ""question n""
},
""queries"" : {
1 : ""querie 1"", 
2 : ""querie 2"", 
3 : ""querie 3"",
... : ...,
n :  ""querie n""
}
}

Please generate 10 search queries that could have been written by Karen to do research on the following.
Topic: Airport Security.
Description: A relevant document would discuss the effectiveness of efforts to better scrutinize passengers and luggage on all flights, but particularly international flights.","{'keywords': ['airport security', 'international flights', 'passenger scrutiny'], 'questions': {'1': 'How effective is airport security?', '2': 'What are the efforts to scrutinize passengers?', '3': 'How are international flights affected?', '4': 'What is the impact of passenger scrutiny?', '5': 'What are the latest airport security measures?', '6': 'What are the challenges of airport security?', '7': 'What is the role of technology?', '8': 'What are the legal implications?', '9': 'What are the consequences of security breaches?', '10': 'What are the costs of airport security?'}, 'queries': {'1': 'Airport security effectiveness', '2': 'Efforts to scrutinize passengers', '3': 'International flights scrutiny impact', '4': 'Passenger scrutiny impact', '5': 'Latest airport security measures', '6': 'Airport security challenges', '7': 'Technology in airport security', '8': 'Legal implications of airport security', '9': 'Consequences of security breaches', '10': 'Costs of airport security'}}",Karen
8,336,"I want you to formulate queries about a specific topic. When writing the queries write them in the style of Karen who wants to identify relevant document for the specific topic, to fulfill their goal of write a short article for the church magazine. 
When creating the queries think of what Karen is interested. What information does Karen need to fulfill their goal of write a short article for the church magazine?. 
Make sure the queries are as realistic as possible. That means that when writing the queries use words that are realistic given that Karen is 45 years old. 
Also add here roughly to the length of 4 words, as it would be unrealistic for Karen to write different length queries. 
Consider that Karen is from texas if the topic can have a relation to texas. Formulate your words as a non academical english native. When writing the Queries also remember that Karen is female. 
Format the queries as one python dictionary, where the keys are `keywords`, `questions` and `queries`. Write them with the following steps:

1. (keywords): Identify important keywords that fit to what Karen needs to know to reach their goal of write a short article for the church magazine about the topic. Remember that the topic itself is not a keyword but has to appear in all queries and do not find more than 3 keywords!!
2. (Questions):  Try to formulate questions that are as realistic as possible given the description of Karen and the topic. Use the keywords to formulate the questions. Remember that the topic itself is not a keyword but has to appear in all queries!!
3. (Queries): Rewrite the questions and consider that they have to fit roughly into 4 words and that they’re not formulated as a question and without a question mark. Remeber that each query has to speak for itself. 

Use the following framework for the dictionary: 

{
""keywords"": [""keyword 1"", ""keyword 2"", ""keyword 3""],
""questions"" : {
1 : ""question 1"", 
2: ""question 2"", 
3: ""question 3"",
... ; ..., 
n : ""question n""
},
""queries"" : {
1 : ""querie 1"", 
2 : ""querie 2"", 
3 : ""querie 3"",
... : ...,
n :  ""querie n""
}
}

Please generate 10 search queries that could have been written by Karen to do research on the following.
Topic: Black Bear Attacks.
Description: A relevant document would discuss the frequency of vicious black bear attacks worldwide and the possible causes for this savage behavior.","{'keywords': ['black bear attacks', 'frequency', 'causes'], 'questions': {'1': 'How often do black bears attack?', '2': 'What causes black bear attacks?', '3': 'Where do black bear attacks happen?', '4': 'What are the consequences of black bear attacks?', '5': 'How can black bear attacks be prevented?', '6': 'What should you do if you encounter a black bear?', '7': 'What is the history of black bear attacks?', '8': 'What is the psychology behind black bear attacks?', '9': 'What is the impact of human activity on black bear attacks?', '10': 'What is the role of conservation efforts in reducing black bear attacks?'}, 'queries': {'1': 'Black bear attack frequency', '2': 'Causes of black bear attacks', '3': 'Locations of black bear attacks', '4': 'Consequences of black bear attacks', '5': 'Preventing black bear attacks', '6': 'Encountering black bears safely', '7': 'History of black bear attacks', '8': 'Psychology of black bear attacks', '9': 'Human impact on black bears', '10': 'Conservation and black bears'}}",Karen
9,345,"I want you to formulate queries about a specific topic. When writing the queries write them in the style of Karen who wants to identify relevant document for the specific topic, to fulfill their goal of write a short article for the church magazine. 
When creating the queries think of what Karen is interested. What information does Karen need to fulfill their goal of write a short article for the church magazine?. 
Make sure the queries are as realistic as possible. That means that when writing the queries use words that are realistic given that Karen is 45 years old. 
Also add here roughly to the length of 4 words, as it would be unrealistic for Karen to write different length queries. 
Consider that Karen is from texas if the topic can have a relation to texas. Formulate your words as a non academical english native. When writing the Queries also remember that Karen is female. 
Format the queries as one python dictionary, where the keys are `keywords`, `questions` and `queries`. Write them with the following steps:

1. (keywords): Identify important keywords that fit to what Karen needs to know to reach their goal of write a short article for the church magazine about the topic. Remember that the topic itself is not a keyword but has to appear in all queries and do not find more than 3 keywords!!
2. (Questions):  Try to formulate questions that are as realistic as possible given the description of Karen and the topic. Use the keywords to formulate the questions. Remember that the topic itself is not a keyword but has to appear in all queries!!
3. (Queries): Rewrite the questions and consider that they have to fit roughly into 4 words and that they’re not formulated as a question and without a question mark. Remeber that each query has to speak for itself. 

Use the following framework for the dictionary: 

{
""keywords"": [""keyword 1"", ""keyword 2"", ""keyword 3""],
""questions"" : {
1 : ""question 1"", 
2: ""question 2"", 
3: ""question 3"",
... ; ..., 
n : ""question n""
},
""queries"" : {
1 : ""querie 1"", 
2 : ""querie 2"", 
3 : ""querie 3"",
... : ...,
n :  ""querie n""
}
}

Please generate 10 search queries that could have been written by Karen to do research on the following.
Topic: Overseas Tobacco Sales.
Description: Health studies primarily in the U.S. have caused reductions in tobacco sales here, but the economic impact has caused U.S. tobacco companies to look overseas for customers. What impact have the health and economic factors had overseas?","{'keywords': ['Overseas Tobacco Sales', 'health impact', 'economic impact'], 'questions': {'1': 'What is Overseas Tobacco Sales?', '2': 'What is the health impact of Overseas Tobacco Sales?', '3': 'What is the economic impact of Overseas Tobacco Sales?', '4': 'How have health studies affected tobacco sales in the US?', '5': 'Why are US tobacco companies looking overseas?', '6': 'What is the impact of health factors on overseas tobacco sales?', '7': 'What is the impact of economic factors on overseas tobacco sales?', '8': 'What countries are US tobacco companies targeting?', '9': 'What is the future of overseas tobacco sales?', '10': 'What are the ethical implications of overseas tobacco sales?'}, 'queries': {'1': 'Define Overseas Tobacco Sales', '2': 'Health impact of Overseas Tobacco Sales', '3': 'Economic impact of Overseas Tobacco Sales', '4': 'Effect of health studies on US tobacco sales', '5': 'Reasons for US tobacco companies going overseas', '6': 'Impact of health factors on tobacco sales abroad', '7': 'Impact of economic factors on tobacco sales abroad', '8': 'Countries targeted by US tobacco companies', '9': 'Future of tobacco sales abroad', '10': 'Ethical implications of tobacco sales abroad'}}",Karen
